ID	LEMMA	UPOS	GENERE	WRITTEN REPRESENTATION	ID LEMMA VARIANT	TRADUZIONI	URI ITALIANO
10699	dòllaru	NOUN	m	["dòllaru"]	[]	["dollaro"]	["http://liita.it/data/id/lemma/986659"]
10700	ducumintariu	NOUN	m	["ducumintariu","ducumentariu","documentariu"]	[]	["documentario"]	["http://liita.it/data/id/lemma/986546"]
10703	imparari	VERB		["imparari"]	[]	["imparare"]	["http://liita.it/data/id/lemma/998819"]
10704	primu	ADJ	m	["primu","prima"]	[]	["primo"]	[]
10705	quintu	ADJ	m	["quintu"]	[]	["quinto"]	[]
10706	quartu	ADJ	m	["quartu"]	[]	["quarto"]	[]
10707	sbirru	NOUN	m	["sbirru"]	[]	["polizioto","sbirro"]	["http://liita.it/data/id/lemma/1097307"]
10708	quattru	NUM	m	["quattru"]	[]	["quattro"]	["http://liita.it/data/id/lemma/1025600"]
10709	sdegnu	NOUN	m	["sdegnu"]	[]	["sdegno"]	["http://liita.it/data/id/lemma/1036232"]
10710	nonu	ADJ	m	["nonu"]	[]	["nono"]	[]
10711	ngannu	NOUN	m	["ngannu","ingannu"]	[]	["inganno"]	["http://liita.it/data/id/lemma/1093226"]
10713	lignu	NOUN	m	["lignu"]	[]	["legno"]	["http://liita.it/data/id/lemma/1093772"]
10715	tri	NUM	m	["tri"]	[]	["tre","tré"]	["http://liita.it/data/id/lemma/1061115"]
10716	spina	NOUN	f	["spina"]	[]	["spina"]	["http://liita.it/data/id/lemma/1098203"]
10717	litru	NOUN	m	["litru"]	[]	["litro"]	["http://liita.it/data/id/lemma/1006677","http://liita.it/data/id/lemma/1006678"]
10718	lucali	ADJ	m	["locali","lucali"]	[]	["locale"]	["http://liita.it/data/id/lemma/1093891"]
10720	troppu	ADJ	m	["troppu"]	[]	["troppo"]	["http://liita.it/data/id/lemma/1125697"]
10721	stissu	ADJ	m	["stissu"]	[]	["stesso"]	["http://liita.it/data/id/lemma/1121315"]
10722	sestu	ADJ	m	["sestu"]	[]	["sesto"]	[]
10723	doppu	ADV		["doppu","dopu"]	[]	["dopo"]	["http://liita.it/data/id/hypolemma/47982"]
10725	dintista	NOUN	m	["rintista","dintista"]	[]	["dentista"]	["http://liita.it/data/id/lemma/983215"]
10727	savatta	NOUN	f	["savatta"]	[]	["ciabatta"]	["http://liita.it/data/id/lemma/976257"]
10728	discursu	NOUN	m	["discursu"]	[]	["discorso"]	["http://liita.it/data/id/lemma/985197"]
10729	surpassu	NOUN	m	["surpassu"]	[]	["sorpasso"]	["http://liita.it/data/id/lemma/1040449"]
10730	triccentu	NUM	m	["triccentu"]	[]	["trecento"]	["http://liita.it/data/id/lemma/1048461"]
10731	trimmila	NUM	m	["trimmila"]	[]	["tremila"]	["http://liita.it/data/id/lemma/1048489"]
10732	dumila	NUM	m	["dumila"]	[]	["duemila"]	["http://liita.it/data/id/lemma/987172"]
10733	disidirari	VERB		["disidirari"]	[]	["desiderare"]	["http://liita.it/data/id/lemma/983517"]
10734	ncigneri	NOUN	m	["ncigneri","ngigneri"]	[]	["ingegnere"]	["http://liita.it/data/id/lemma/1001453"]
10736	spinaci	NOUN	m	["spinaci"]	[]	["spinaci","spinace"]	["http://liita.it/data/id/lemma/1041731"]
10737	principiari	VERB		["principiari"]	[]	["cominciare","iniziare"]	["http://liita.it/data/id/lemma/978147","http://liita.it/data/id/lemma/1001714"]
10738	parchiggiari	VERB		["parchiggiari","parchijari"]	[]	["parcheggiare"]	["http://liita.it/data/id/lemma/1018132"]
10739	dinaru	NOUN	m	["dinaru","danaru"]	[]	["danaro","denaro"]	["http://liita.it/data/id/lemma/983138"]
10741	disturbari	VERB		["distrubbari","disturbari"]	[]	["disturbare"]	["http://liita.it/data/id/lemma/986226"]
10743	dubbiu	NOUN	m	["dubbiu"]	[]	["dubbio"]	["http://liita.it/data/id/lemma/987125"]
10744	ncumpitenti	ADJ	m	["ncumpitenti"]	[]	["incompetente"]	["http://liita.it/data/id/lemma/1000200"]
10745	ncumpletu	ADJ	m	["ncumpretu","ncumpletu"]	[]	["incompleto"]	["http://liita.it/data/id/lemma/1000206"]
10747	ncuntrari	VERB		["incuntrari","ncuntrari"]	[]	["incontrare"]	["http://liita.it/data/id/lemma/1000294"]
10749	ncontru	NOUN	m	["incontru","ncontru"]	[]	["incontro"]	["http://liita.it/data/id/lemma/1000299"]
10751	mprisa	NOUN	f	["mprisa","imprisa"]	[]	["impresa"]	["http://liita.it/data/id/lemma/999296"]
10753	mmeci di	ADV		["mmeci","mmeci di","nveci di"]	[]	["invece di","invece"]	["http://liita.it/data/id/lemma/1003095"]
10755	nfernu	NOUN	m	["infernu","nfernu"]	[]	["inferno"]	["http://liita.it/data/id/lemma/1001070","http://liita.it/data/id/lemma/1093189"]
10757	nfruenza	NOUN	f	["nfluenza","nfruenza"]	[]	["influenza"]	["http://liita.it/data/id/lemma/1093211"]
10759	nfurmazzioni	NOUN	f	["infurmazzioni","nfurmazzioni","nfurmazioni","infurmazioni"]	[]	["informazione"]	["http://liita.it/data/id/lemma/1001254"]
10763	njizzioni	NOUN	f	["gnizioni","gnizzioni","njizzioni","njizioni"]	[]	["iniezione"]	["http://liita.it/data/id/lemma/1093245"]
10767	ligari	VERB		["ligari"]	[]	["legare"]	["http://liita.it/data/id/lemma/1093764","http://liita.it/data/id/lemma/1005608"]
10768	lijari	VERB		["lijari"]	[]	["legare"]	["http://liita.it/data/id/lemma/1093764","http://liita.it/data/id/lemma/1005608"]
10769	lagu	NOUN	m	["lagu","lacu"]	[]	["lago"]	["http://liita.it/data/id/lemma/1093672"]
10771	ntiriuri	ADJ	m	["intiriuri","ntiriuri"]	[]	["interiore"]	["http://liita.it/data/id/lemma/1002523"]
10772	nternu	ADJ	m	["internu","nternu"]	[]	["interno"]	["http://liita.it/data/id/lemma/1093349"]
10774	nnamuratu	ADJ	m	["nnamuratu"]	[]	["innamorato"]	["http://liita.it/data/id/hypolemma/26307"]
10775	ndiffirenti	ADJ	m	["ndiffirenti","nniffirenti"]	[]	["indifferente"]	["http://liita.it/data/id/lemma/1093151"]
10777	mpiegu	NOUN	m	["mpegu","mpiegu","mpeju","mpeiu","impiegu"]	[]	["impiego"]	["http://liita.it/data/id/lemma/1093065"]
10782	libbirtati	NOUN	f	["libbirtati","libirtati","libbirtà","libirtà"]	[]	["libertà"]	["http://liita.it/data/id/lemma/1006076"]
10786	jurnata	NOUN	f	["jurnata","giurnata","iurnata"]	[]	["giorno","giornata"]	["http://liita.it/data/id/lemma/995815","http://liita.it/data/id/lemma/995819"]
10789	diminuiri	VERB		["diminuiri"]	[]	["diminuire"]	["http://liita.it/data/id/lemma/984479"]
10790	duzzina	NOUN	f	["duzzina"]	[]	["dozzina"]	["http://liita.it/data/id/lemma/986965"]
